"title","imgUrl","price","categoryName"
"Girls Skirt Navy Blue Pearl Stars Sparkling Tutu Dancing","https://m.media-amazon.com/images/I/81um1YxL8iL._AC_UL320_.jpg","30.95","Apparel"
"MroMax M8x120 Thread Hex Bolts Stainless Steel","https://m.media-amazon.com/images/I/518uWjf8ACL._AC_UL320_.jpg","22.19","Tools&Equipement"
"Fujifilm 01010323 Fujicolor Superia 400 Color Negative Film ISO 400, 35mm, 36 Exposures","https://m.media-amazon.com/images/I/718+DJ1X6YL._AC_UL320_.jpg","34.34","Electronics"
"Canon RF15-30mm F4.5-6.3 is STM Lens","https://m.media-amazon.com/images/I/61dYFCSCdJL._AC_UL320_.jpg","539.99","Electronics"
"Camera Bag, BEVISGEAR, Top Shelf, Water Resistant Sling Backpack for Photo and Video with Hidden Tripod Holder, Works with DSLR, SLR, Mirrorless Cameras and More","https://m.media-amazon.com/images/I/51Vkl0oGtRL._AC_UL320_.jpg","449.0","Bag&Luggage"
"Nikon Mount Adapter FTZ II","https://m.media-amazon.com/images/I/81WNE4ptjxL._AC_UL320_.jpg","329.0","Electronics"
"EISHOPEER Women's Cover Up Shirt Swimsuit Bikini Beachwear Bathing Suit Beach Dress Black","https://m.media-amazon.com/images/I/5197JOKDc9L._AC_UL320_.jpg","23.99","Apparel"
"VENNERLI Kids Swim Goggles No Leaking Anti-fog 100% UV Protection Wide View","https://m.media-amazon.com/images/I/711b6jEipZL._AC_UL320_.jpg","19.99","Apparel"
"Dirt Bike Clutch Brake Pivot Levers","https://m.media-amazon.com/images/I/51awg1CoU-L._AC_UL320_.jpg","22.35","Tools&Equipement"
"Mercedes AMG Petronas Formula One Team 023 Team Long Sleeve T-Shirt","https://m.media-amazon.com/images/I/61sPjoF-QPL._AC_UL320_.jpg","86.36","Tools&Equipement"
"VIVO Black 24 inch Monitor Riser","https://m.media-amazon.com/images/I/71w0DWhsCsL._AC_UL320_.jpg","38.99","Furniture"
"ViewSonic VA2409M 24 Inch Monitor 1080p IPS Panel with Adaptive Sync, Thin Bezels, HDMI, VGA, and Eye Care","https://m.media-amazon.com/images/I/61WTZCCAleL._AC_UL320_.jpg","153.46","Electronics"
"ASUS ROG Strix Arion M.2 NVMe SSD Enclosure-USB3.2 GEN2 Type-C","https://m.media-amazon.com/images/I/51KQdyVt-TL._AC_UL320_.jpg","120.17","Electronics"
"SanDisk 128GB Ultra Curve USB 3.2 Flash Drive Black up to 100 MB/s","https://m.media-amazon.com/images/I/71IAHY+1vgL._AC_UL320_.jpg","16.99","Electronics"
"E12 LED Bulbs, 12W LED Candelabra Bulb 100 Watt Equivalent, 1200lm","https://m.media-amazon.com/images/I/71dFMGzpssL._AC_UL320_.jpg","19.86","Tools&Equipement"
"Sonos Era 100 Multi-Room Speaker - Single (White)","https://m.media-amazon.com/images/I/61+XSrAFlCL._AC_UL320_.jpg","0.0","Electronics"
"DEWALT 20V MAX XR Cordless Hammer Drill/Driver, With Power Detect Technology","https://m.media-amazon.com/images/I/71D+XGHoXzL._AC_UL320_.jpg","219.0","Tools&Equipement"
"RPNB Deluxe Safe and Lock Box, Money Box, Digital Keypad Safe Box, Steel Alloy Drop Safe","https://m.media-amazon.com/images/I/510cRX3-SKL._AC_UL320_.jpg","139.99","Furniture"
"Master Lock 1535DWD Vertical Resettable Word Combo Lock, Assorted Colors","https://m.media-amazon.com/images/I/518Dm5ye50L._AC_UL320_.jpg","14.99","Tools&Equipement"
"Yarra-Decor Modern Spiral Bedside Lamp","https://m.media-amazon.com/images/I/61S5tzvEROL._AC_UL320_.jpg","45.99","Furniture"
